#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
A2|AGVN|39.359078|46.318143|1824.0|Aghvani|2023-09-12T08:48:03.3400|
A2|ARZK|40.428408|44.589914|1561.0|Arzakan|2022-09-02T10:15:49.5120|
A2|KCHK|39.610717|45.199504|1764.0|Khachik|2022-09-20T08:24:59.9890|
A2|LRNG|40.258703|43.873974|1077.0|LERNAGOG|2022-11-01T08:23:42.1440|
A2|SHMT|40.943472|44.804487|1594.0|Shamut|2022-10-19T13:40:32.1220|
A2|SVZR|39.920301|45.471962|2236.0|Sevadzayr|2022-09-20T15:04:51.3440|
A2|TTJR|40.597151|45.365255|1966.0|Ttujur|2022-08-04T11:58:44.0630|
A2|ZRSH|40.990359|43.67155|2161.0|Zarishat|2022-10-20T05:45:53.3810|
AB|DSKN|40.457049|46.022972|1731.0|Dashkesen,Azerbaijan|2021-12-24T10:46:47.0000|
AB|HASN|39.336076|49.217978|-26.0|Hasanabad,Azerbaijan|2022-07-21T05:41:44.0000|
AB|KHDR|39.839572|49.319352|-21.0|Khidirli,Azerbaijan|2022-09-20T05:40:23.0000|
AB|MV01|40.540483|49.621607|8.0|Ashagi Guzdek, Azerbaijan|2022-07-13T10:54:11.0000|
AB|MV02|40.294908|49.669228|-23.0|Puta, Azerbaijan|2022-07-13T08:49:57.0000|
AB|MV03|40.362366|49.741661|10.0|Gobu, Azerbaijan|2022-08-31T08:39:59.0000|
AB|MV04|40.487966|49.864344|25.0|Mehdiabad, Azerbaijan|2022-06-17T05:40:23.0000|
AB|MV05|40.432028|49.692363|208.0|Atyali,Azerbaijan|2022-07-13T11:16:22.0000|
AB|MV06|40.373327|49.68128|143.0|Guzdek, Azerbaijan|2022-06-23T06:03:14.0000|
AB|MV07|40.356546|49.604843|20.0|Shongar, Azerbaijan|2022-07-13T11:02:11.0000|
AB|MV08|40.136053|49.059994|50.0|Gubalibalaoglan, Azerbaijan|2022-08-30T10:59:18.0000|
AB|MV09|40.304158|49.616691|29.0|Korgoz, Azerbaijan|2022-01-24T12:38:13.0720|
AB|MV10|40.282382|49.284748|158.0|Cheyildag, Azerbaijan|2022-07-19T11:51:35.0000|
AB|MV11|40.16482|49.458387|-23.0|Sanghachal, Azerbaijan|2022-07-19T07:26:50.8330|
